name,category,latitude,longitude,address,phone,website,google_maps_url,rating,review_count,price_level,hours,open_now,types,place_id
Hotel Altamira Mazunte,Restaurants,15.6635866,-96.5573295,"Camino a Punta Cometa S/N, 70946 Mazunte, Oax., Mexico",958 688 3800,https://altamiramazunte.com/,https://maps.google.com/?cid=12309439154860407205,4.4,394,N/A,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,False,,ChIJmQ4N5T8ouYURpTm9cbHp06o
Paraíso del Pescador,Restaurants,15.6654381,-96.54441059999999,"San Agustinillo Tonameca . calle principal s/n col centro, 70947 Mazunte, Oax., Mexico",958 589 9517,http://paraisodelpescador.tuhotel.com.mx/,https://maps.google.com/?cid=13709901487590404392,4,342,N/A,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,False,,ChIJTcjEWTcouYURKPFsycNaQ74
Palapa Omar,Restaurants,15.6649815,-96.55369519999999,"70947 Santa María Tonameca, Oaxaca, Mexico",958 131 8626,N/A,https://maps.google.com/?cid=16728805299135862195,3.6,139,N/A,Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 AM – 6:00 PM | Sunday: 7:00 AM – 6:00 PM,False,,ChIJYdK88j4ouYURs1WqW8mnKOg
Jalilh restaurante & bar,Restaurants,15.6649929,-96.5534837,"Andador carey Playa, 70947 Mazunte, Oax., Mexico",958 107 6567,N/A,https://maps.google.com/?cid=5847687204100691825,4.5,257,N/A,Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 10:00 PM,False,,ChIJr8U_7T4ouYURcdcEnocoJ1E
El Pescador,Restaurants,15.6647534,-96.5543335,"playa principal Mazunte, 70209 Santa María Tonameca, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=3747820351293269074,4.1,207,$$,Monday: 7:00 AM – 9:00 PM | Tuesday: 7:00 AM – 9:00 PM | Wednesday: 7:00 AM – 9:00 PM | Thursday: 7:00 AM – 9:00 PM | Friday: 7:00 AM – 9:00 PM | Saturday: 7:00 AM – 9:00 PM | Sunday: 7:00 AM – 9:00 PM,False,,ChIJqcRoWT4ouYURUqTQsMDuAjQ
KAPRICHO,Restaurants,15.6640192,-96.5558009,"PLAYA RINCONCITO SN, 70947 Oax., Mexico",958 113 2895,https://www.facebook.com/KaprichoMazunte/?fref=ts,https://maps.google.com/?cid=1939488543105808809,3.3,6,N/A,N/A,Unknown,,ChIJZ95QNj4ouYURqfnC2Y1y6ho
Mazuntaco,Restaurants,15.6668755,-96.5527929,"México 175, 70947 Mazunte, Oax., Mexico",N/A,https://www.facebook.com/mazuntaco,https://maps.google.com/?cid=4065332138874176284,3,1,N/A,N/A,Unknown,,ChIJg5cgHzwouYURHAOTjwr2ajg
Doña Meche,Restaurants,15.6670939,-96.55571139999999,"Rinconcito, 70947 Mazunte, Oax., Mexico",958 109 8712,N/A,https://maps.google.com/?cid=13801636903347960837,3.5,282,N/A,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,False,,ChIJqbmS6T0ouYURBTz6rqNDib8
Gigantortas y pipas de agua don temo,Restaurants,15.6676657,-96.5532228,"México 175 26, 70947 Mazunte, Oax., Mexico",958 113 2316,http://www.purificadoragotadevida.amawebs.com/,https://maps.google.com/?cid=12758009583424734559,5,1,N/A,N/A,Unknown,,ChIJDyaTPjwouYURX4UPDR-ODbE
R La Tortuguita,Restaurants,15.6678567,-96.5534842,"Av. Principal s/n, Las Tortuguitas, 60946 Mazunte, Oax., Mexico",958 589 9016,N/A,https://maps.google.com/?cid=12060443598271667759,4.3,6,N/A,N/A,Unknown,,ChIJqzL7ODwouYURL96dvI1NX6c
